,id,author_id,author_handle,author_name,author_description,author_location,author_verified,text,is_reply,like_count,quote_count,reply_count,retweet_count,created_at,matched_rules,labels
0,1378600746539741185,1374833372938264576,pixiepIuto,Lilo,CEO of no dad,20,False,I get vaccine passports but I don’t think grandma audrey at the age of 98 wants to go clubbing,False,0,0,0,0,2021-04-04 06:50:05 UTC,vaccines,1.0
1,1378658668699353088,822501662300504064,i0amillionairme,agedebit 🕷️ 🕸️ 💙,"Anachronism, ye way to be. Or not.",Aporia,False,Experts urge public to go for inoculations as benefits far outweigh potential complications. https://t.co/BVYTGkPtEV,False,0,0,0,0,2021-04-04 10:40:15 UTC,az-vaccine,1.0
2,1378578145801072648,2409229045,dangerdays05,Ev,20 || ♈ || SFA Interior Design || #HCCGRAD Associate of Arts in Multidisciplinary Studies || I love Houston history hehe ||,H-Town,False,"Finally got a vaccine appointment, let's goooooo",False,0,0,0,0,2021-04-04 05:20:17 UTC,vaccines,1.0
3,1378779394211262467,186087742,EmmaHolgateLowe,Emma Holgate-Lowe,"Freelance media type. Once a Daily Mail Hag, Foodie, Neighbours is life. For PR consultancy check out @LowedownThe",Didsbury,False,While I am pro-vaccine. I’m not interested in living with #vaccinepassports. People have a human right to choice. The government has made a series of errors in the management of covid. Now you’re going to punish the people who have stayed home &amp; waited like you asked.,False,0,0,0,0,2021-04-04 18:39:58 UTC,vaccines,1.0
4,1378734143974993920,216965925,ian_doktor,Ian Doktor,"Father of two, Physics Teacher, Doctoral Student at the U of A, Physics and Astronomy geek. 

What could someone say to show that you were wrong?",Edmonton,False,I'm glad Canada has a relatively high degree of vaccine acceptance.  But this is always worth sharing! https://t.co/1JUYwIeWNB,False,0,0,0,0,2021-04-04 15:40:10 UTC,vaccines,1.0
5,1378549139970097154,223992560,McLennanCC,McLennan Community College,Our mission is to educate our students – improving their lives and enriching our community. MCC is an equal opportunity education provider and employer.,"Waco, TX",False,"Read our newest campus update at https://t.co/5F38YEqIJu. 
.
.
.
VACCINE RESOURCES: 
▶️ https://t.co/fgaSoen73Y
▶️ https://t.co/RttcNRZZKA
▶️ https://t.co/sauxdNZ5fr https://t.co/Qm8GA4bTec",False,0,0,0,0,2021-04-04 03:25:01 UTC,vaccines,0.0
6,1378559280866062336,2780949170,lawtno,Douglas Adams Stan Account,21 | She/Her | 🐌🐌https://t.co/uu6yNwlRMQ,swag town,False,Just got my second vaccine shot! https://t.co/5Lyo18DdAg,False,0,0,0,0,2021-04-04 04:05:19 UTC,vaccines,1.0
7,1378693843256713218,50008734,londoncouncils,London Councils,London Councils represents 32 borough councils and the City of London. It is a cross-party organisation that works on behalf of its members and their residents.,"London, UK",False,"Millions of Londoners have now been given the #CovidVaccine.

If you have an underlying health condition, it’s really important that you have the vaccine to protect yourself from coronavirus. 

Book your appointment today:
💻Visit https://t.co/1VEH7P5r1I
📞Call 119 for free https://t.co/pWNvvSowv0",False,0,0,0,0,2021-04-04 13:00:01 UTC,vaccines,1.0
8,1378506405192163328,3348362338,werner_bertzog,luke?,🏳️‍🌈 Quite like films and photography. I also write bad film reviews if that’s your thing I guess (he/they),"Tucson, AZ",False,The soreness in my arm is gone and im feeling better so i think most of the initial stuff from the vaccine is gone,False,0,0,0,0,2021-04-04 00:35:13 UTC,vaccines,1.0
9,1378547972279955457,25062474,ataafe,It's in the Detail,Commuter cyclist. Sometime audaxer. Tired of submitting to our Metal Overlords,Wollongong,False,Nope - Australia's COVID-19 vaccine supply is still patchy. But will other vaccines help fill the void? https://t.co/tBdwRg5z7L,False,0,0,0,0,2021-04-04 03:20:23 UTC,vaccines,0.0
10,1378580670675570688,3366237136,JOCHA__,khelefi,Fight Against HIV/AIDS.,Mkutimango ,False,Imagine saying shit to Maulid because he got Vaccine shot...LMAO..humans😂😂😁,False,0,0,0,0,2021-04-04 05:30:19 UTC,vaccines,0.0
